IdEntidad,Nombre,Codigo,Poblacion,Superficie,Densidad
1,AGUASCALIENTES,AS,1434635,5616,255
2,BAJA CALIFORNIA,BC,3634868,71450,51
3,BAJA CALIFORNIA SUR,BS,804708,73909,11
4,CAMPECHE,CC,1000617,57507,17
5,COAHUILA,CL,3218720,151562,21
6,COLIMA,CM,785153,5627,140
7,CHIAPAS,CS,5730367,73311,78
8,CHIHUAHUA,CH,3801487,247455,15
9,CIUDAD DE MÉXICO,DF,9018645,1495,6033
10,DURANGO,DG,1868996,123317,15
11,GUANAJUATO,GT,6228175,30608,203
12,GUERRERO,GR,3657048,63596,58
13,HIDALGO,HG,3086414,20813,148
14,JALISCO,JC,8409693,78588,107
15,MEXICO,MC,17427790,22351,780
16,MICHOACAN,MN,4825401,58599,82
17,MORELOS,MS,2044058,4879,419
18,NAYARIT,NT,1288571,27857,46
19,NUEVO LEON,NL,5610153,64156,87
20,OAXACA,OC,4143593,93757,44
21,PUEBLA,PL,6604451,34306,193
22,QUERETARO,QT,2279637,11699,195
23,QUINTANA ROO,QR,1723259,44705,39
24,SAN LUIS POTOSI,SP,2866142,61137,47
25,SINALOA,SL,3156674,58200,54
26,SONORA,SR,3074745,179355,17
27,TABASCO,TC,2572287,24731,104
28,TAMAULIPAS,TS,3650602,80249,45
29,TLAXCALA,TL,1380011,4016,344
30,VERACRUZ,VZ,8539862,71826,119
31,YUCATAN,YN,2259098,39524,57
32,ZACATECAS,ZS,1666426,75284,22
